"date","ticker","close"
2020-01-02,"BRFS3.SA",33.2289924621582
2020-01-03,"BRFS3.SA",33.2845611572266
2020-01-06,"BRFS3.SA",32.9418983459473
2020-01-07,"BRFS3.SA",32.5621910095215
2020-01-08,"BRFS3.SA",33.8124465942383
2020-01-09,"BRFS3.SA",34.1180648803711
2020-01-10,"BRFS3.SA",33.6550102233887
2020-01-13,"BRFS3.SA",33.988410949707
2020-01-14,"BRFS3.SA",33.8494911193848
2020-01-15,"BRFS3.SA",33.7754020690918
2020-01-16,"BRFS3.SA",33.2197341918945
2020-01-17,"BRFS3.SA",33.1086006164551
2020-01-20,"BRFS3.SA",33.3864364624023
2020-01-21,"BRFS3.SA",32.8122444152832
2020-01-22,"BRFS3.SA",32.9696846008301
2020-01-23,"BRFS3.SA",32.2658348083496
2020-01-24,"BRFS3.SA",31.3304595947266
2020-01-27,"BRFS3.SA",29.4319248199463
2020-01-28,"BRFS3.SA",29.0429573059082
2020-01-29,"BRFS3.SA",28.8021659851074
2020-01-30,"BRFS3.SA",28.3391094207764
2020-01-31,"BRFS3.SA",28.2928028106689
2020-02-03,"BRFS3.SA",29.2374401092529
2020-02-04,"BRFS3.SA",29.8023681640625
2020-02-05,"BRFS3.SA",29.7004985809326
2020-02-06,"BRFS3.SA",29.4967555999756
2020-02-07,"BRFS3.SA",29.2096557617188
2020-02-10,"BRFS3.SA",28.5613784790039
2020-02-11,"BRFS3.SA",28.616943359375
2020-02-12,"BRFS3.SA",28.9410839080811
2020-02-13,"BRFS3.SA",29.015172958374
2020-02-14,"BRFS3.SA",28.616943359375
2020-02-17,"BRFS3.SA",28.7095565795898
2020-02-18,"BRFS3.SA",28.5706386566162
2020-02-19,"BRFS3.SA",28.8577346801758
2020-02-20,"BRFS3.SA",28.4131984710693
2020-02-21,"BRFS3.SA",28.1168422698975
2020-02-26,"BRFS3.SA",26.3479652404785
2020-02-27,"BRFS3.SA",25.4959373474121
2020-02-28,"BRFS3.SA",25.0421409606934
2020-03-02,"BRFS3.SA",26.1164321899414
2020-03-03,"BRFS3.SA",24.2178993225098
